11,Don't Memorise,"A library of 2D animated video lectures that explain key concepts and show solutions to problems in English, covering topics in Math and Science for grades 9 to 12.","Don't Memorise - English==https://www.youtube.com/channel/UCiTjCIT_9EXV1Wp1cY0zaUA/featured;Don't Memorise - Hindi==https://www.youtube.com/channel/UCSZVTk6wAtmorpBjP_uEjpw,Don't Memorise - English==https://www.youtube.com/channel/UCiTjCIT_9EXV1Wp1cY0zaUA/featured;Don't Memorise - Hindi==https://www.youtube.com/channel/UCSZVTk6wAtmorpBjP_uEjpw",9,12,"Math, Science",Free,3,English,EN
12,Physics Wallah,A collection of videos lectures in Hinglish covering concepts in Physics and Chemistry,"https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ,https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ",10,12,Science,Free,3,Hindi,EN
13,Physics Wallah,Video lectures in Hinglish covering concepts to help you prep for JEE and NEET,"https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ/videos,https://www.youtube.com/channel/UCiGyWN6DEbnj2alu7iapuKQ/videos",14,14,"JEE, NEET",Free,3,Hindi,EN
14,MocomiKids,"MocomiKids is a library of animated edutainment videos featuring short stories, fun facts, and questions to spark your child's curiosity. Mocomi's content is available in both Hindi and English.","https://www.youtube.com/user/mocomikids/,https://www.youtube.com/user/mocomikids/",0,8,General Knowledge,Free,3,"English, Hindi",EN
15,PuStack,"Collection of video lectures in Hinglish on topics in Math, Science, and Social Sciences for grades 9 and 10.","https://www.youtube.com/channel/UC5rPwqBfL4zfIAXuXxHLSlg/featured,https://www.youtube.com/channel/UC5rPwqBfL4zfIAXuXxHLSlg/featured",9,10,"Science, Social Science",Free,3,Hindi,EN
16,Avanti Sankalp,"Avanti Sankalp delivers NCERT-aligned Math and Science content for grades 9 to 12 via videos, quizzes, and textbook solutions in Hindi.","https://www.youtube.com/channel/UCcWbm9eHkD-Mj_HdCK1_4Ww/about,https://play.google.com/store/apps/details?id=in.avanti.haryana.gurukul",9,12,"Math, Science",Free,3,Hindi,EN
17,Let's Make Education Simple,Video blogs that explain various concepts in Science and Math using real life examples in Tamil,"https://www.youtube.com/channel/UCNwcxhfBVDgwx9Lv3CBpu6A,https://www.youtube.com/channel/UCNwcxhfBVDgwx9Lv3CBpu6A",5,12,"Math, Science",Free,3,Tamil,EN
18,MagicPathshala,Animated videos and games on key concepts in English grammar and Math for young children,"https://www.youtube.com/user/MagicPathshala/,https://www.youtube.com/user/MagicPathshala/",0,5,"English, Math",Free,3,"Hindi, English",EN
19,Pebbles TN Samacheer & Competitive Exams,"Pebbles is a library of video lectures for Math and Science, covering content for grades 3 to 12.","https://www.youtube.com/user/PebblesTNSamacheer/,https://www.youtube.com/user/PebblesTNSamacheer/",3,12,"Math, Science",Free,3,Tamil,EN
20,Edewcate,Fun animated videos featuring nursery rhymes and short stories for young children aged 2-8 years.,"https://www.youtube.com/user/eDewcate/about,https://www.youtube.com/user/eDewcate/about",15,15,General Knowledge,Free,3,"English, Hindi, Telugu",EN
21,Pradeep Kshetrapal,A library of detailed classroom lecture videos covering topics in Physics for grades 11 and 12.,"https://www.youtube.com/user/PradeepKshetrapal/videos,https://www.youtube.com/user/PradeepKshetrapal/videos",11,12,Science,Free,3,Hindi,EN
22,Success CDS Education,"Pre-recorded video lessons going over topics in English, Hindi, Science, and Math for grades 5 to 12, as well as trivia and general knowledge.","https://www.youtube.com/channel/UCXM3b61alvDTJ7BPQ17TfAw,https://www.youtube.com/channel/UCXM3b61alvDTJ7BPQ17TfAw",5,12,"English, Hindi, Math, Science",Free,3,Hindi,EN
23,BooksRapid,"A library of video lectures in Odia, covering content for grades 1 to 10 in Math, Science, and English.","https://www.youtube.com/channel/UC4GiTDaA64QaIskLd0jfjwg/featured,https://www.youtube.com/channel/UC4GiTDaA64QaIskLd0jfjwg/featured",1,10,"English, Math, Science",Free,3,Odia,EN
24,Odia Digital Learning,Video lectures in Odia covering concepts in Math for grades 3 to 6,"https://www.youtube.com/playlist?list=PLttru3UvMWDtIGn5UfHd3UJIJv2qtzEBn,https://www.youtube.com/playlist?list=PLttru3UvMWDtIGn5UfHd3UJIJv2qtzEBn",3,6,"Math, English",Free,3,Odia,EN
25,Dear Sir,"A collection of engaging, instructor-led videos featuring Math, Science, spoken English, and general knowledge modules","https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos,https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos",10,12,"Math, Science, English",Free,3,Hindi,EN
26,Dear Sir,"A collection of engaging, instructor-led videos featuring Math, Science, spoken English, and general knowledge modules","https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos,https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos",15,15,"Math, Science, English",Free,3,Hindi,EN
27,Digital Sakshar,"A collection of 2D animated video lectures for grades 1 to 10, covering Math, English, Science, and Social Science concepts.","https://www.youtube.com/user/Sancharlearnings/playlists,https://play.google.com/store/apps/details?id=com.sancharinfotech.digitalsakshar",1,10,"English, Math, Science, Social Science",Free,3,"Marathi, Hindi",EN
28,Math Songs by NUMBEROCK,A library of animated music videos featuring educational songs to help kids learn math concepts for grades K to 6.,"https://www.youtube.com/channel/UCt9SZgFExNwWTH5T_JnyF-A/videos,https://www.youtube.com/channel/UCt9SZgFExNwWTH5T_JnyF-A/videos",0,5,Math,Free,3,English,EN
29,Pebbles Language & Competitive Exams English,"User-friendly videos featuring everyday scenarios to teach you to speak English using your mother toungue (Marathi, Gujarati, Tamil, and Hindi.)","https://www.youtube.com/user/PebblesLearning/,https://www.youtube.com/user/PebblesLearning/",15,15,English,Free,3,"Tamil, Gujarati, Marathi, Hindi",EN
